FID,Box,x,y,adj,Species,number,Grid ref,Lat,Lng,NEAR_FID,NEAR_DIST,Bearing
1154,W5,446195,209188,0,G,5,SP4619509188,51.779459,-1.3318033,1623,8.170820763,7
1155,W50,445924,209324,0,G,50,SP4592409324,51.780704,-1.3357132,2452,4.821360384,300
1156,W51,445892,209414,350,G,51,SP4589209414,51.781515,-1.3361652,2475,26.77996102,160
1157,W51A,445876,209387,180,G,0,SP4587609387,51.781274,-1.3364007,2476,12.27054754,180
1158,W52,445820,209386,0,G,52,SP4582009386,51.78127,-1.3372125,2435,10.82239695,255
1159,W53,445780,209387,0,G,53,SP4578009387,51.781282,-1.3377921,2485,4.831875025,280
1160,W54,446073,209474,0,G,54,SP4607309474,51.78204,-1.3335337,1837,18.58559813,155
1161,W55,446057,209471,300,G,55,SP4605709471,51.782014,-1.333766,1838,5.582663201,355
1162,W56,445993,209439,0,G,56,SP4599309439,51.781732,-1.3346979,1849,17.98267719,0
1163,W57,445965,209416,0,G,57,SP4596509416,51.781527,-1.3351068,1844,29.34553344,85
1164,W58,445917,209426,0,G,58,SP4591709426,51.781621,-1.3358012,2473,28.50229382,170
1165,W59,445913,209354,0,G,59,SP4591309354,51.780974,-1.3358687,2453,9.897045617,205
1166,W6,446183,209157,0,G,6,SP4618309157,51.779181,-1.3319813,1628,10.15147296,0
1167,W60,445859,209422,0,G,60,SP4585909422,51.78159,-1.3366424,2475,15.18313396,95
1168,W61,445821,209426,230,G,61,SP4582109426,51.781629,-1.3371927,2482,20.73382111,180
1169,W62,445726,209378,0,G,62,SP4572609378,51.781205,-1.338576,2053,8.528220439,160
1170,W63,445695,209337,0,G,63,SP4569509337,51.780839,-1.3390307,2047,7.298139536,170
1171,W64,445682,209307,160,G,64,SP4568209307,51.780571,-1.3392231,2033,2.332192543,220
1172,W64A,445637,209271,30,G,0,SP4563709271,51.780251,-1.3398801,2036,3.26503319,355
1173,W64B,445719,209299,0,G,0,SP4571909299,51.780496,-1.3386879,2028,2.825430193,185
1174,W65,445642,209321,0,G,65,SP4564209321,51.7807,-1.339801,2034,21.66051641,100
1175,W66,445757,209362,0,G,66,SP4575709362,51.781059,-1.3381288,2055,4.24205108,5
1176,W67,445819,209352,0,G,67,SP4581909352,51.780964,-1.3372315,2440,2.015766072,95
1177,W68,445861,209328,0,G,68,SP4586109328,51.780745,-1.3366258,2444,6.821773983,355
1178,W69,445872,209244,0,G,69,SP4587209244,51.779989,-1.3364775,1684,20.60443688,50
1179,W7,446155,209194,0,G,7,SP4615509194,51.779516,-1.3323823,1625,21.61175814,180
1180,W71,445813,209237,0,G,71,SP4581309237,51.779931,-1.3373336,2005,21.55106921,210
1181,W72,445760,209328,100,G,72,SP4576009328,51.780753,-1.3380898,2059,2.735883626,170
1182,W73,445791,209254,60,G,73,SP4579109254,51.780085,-1.3376502,2006,5.439183237,315
1183,W74,445800,209212,100,G,74,SP4580009212,51.779707,-1.3375253,2005,8.080744867,165
1184,W75,445667,209165,340,G,75,SP4566709165,51.779295,-1.3394592,2542,12.6868715,75
1185,W75A,445751,209203,180,G,0,SP4575109203,51.77963,-1.3382367,2013,2.589073639,95
1186,W76,445644,209162,150,G,76,SP4564409162,51.77927,-1.3397929,2541,8.255038118,290
1187,W77,445609,209154,0,G,77,SP4560909154,51.779201,-1.3403012,2539,20.2330018,115
